1473792050100044250010000000000014604700002954050048090623030430446           5 
1473792050101043800006000000010014604700002954050048090--3043                 - 
1473792050102041800007000000000014904700002955050048090--3041                 - 
1473792050103033800007000000000015304731052956050048090--3033                 - 
1473792050104041580007000000000015704729042957050048090-8304123050-           - 
1473792050105045800006000000010016404731042959050048090--3045                 - 
1473792050106050500007000000000017404730052962050048090883050                 8 
1473792050107---240007000000000018104728062964053049080833050582008           3 
1473792050108220250015000000000018404633102965056050069824055682208           5 
1473792050109---240015000000000018204505062965059051060924030782509           4 
1473792050110---200015000000000018004336072964061051052334040                 3 
1473792050111040500015000000000017704336032963061051052664040                 6 
1473792050112045500015000000000017304325062962064053047664045                 6 
1473792050113---200020000000000017004222082961066053042554055                 5 
1473792050114055500020000000000016304323092959066054043664055                 6 
1473792050115---220015000000000015604324102957067054042444055071004           4 
1473792050116---220015000000000014904124122955066053040424055271004           4 
1473792050117100250015000000000014904225132955065053043824055671008           8 
1473792050118120250015000000000014204324132953064053047827085671208           8 
1473792050119080800012000000000014904324102955063052048--7080                 - 
1473792050120080800010004000000013204618082950061053058--7080                 - 
1473792050121075800010000000000013504519072951062053054--7075                 - 
1473792050122080580010004000000013804919112952060054067-7708037100-           - 
1473792050123080258008004000000013504921092951059053070-2305047080647100-     - 
1473792050200110800007000000000012804920082949059053070--                     - 
1473792050201110800007000000000012104922062947059053070--7110                 - 
1473792050202110800007000000000011404822092945059053067--7110                 - 
1473792050203110800007000000000010704924092943058053072--7110                 - 
1473792050204110800007000000000010404924102942058053072--7110                 - 
1473792050205---200007000000000010204924102942057052075227110                 2 
1473792050206---240007000000000010404823092942058052070717110682007           2 
1473792050207---200007000000000010404922112942059053070558200                 3 
1473792050208---0000080000000000100049231329410630550610 7100                 0 
1473792050209---400010000000000009305022122939065056059778250                 3 
1473792050210---400010000000000008605322162937071060053778250                 1 
1473792050211---100010000000000008105423162936075062048448250                 0 
1473792050212---100010000000000007005623182933079065045338250                 1 
1473792050213250250012000000000006205723152930080065045704050371203482507     6 
1473792050214---220012000000000005005822142927083067043324055182503           2 
1473792050215---240015000000000003205822142922083067043814055782508           3 
1473792050216---240015000000000002905720152921083066041814055782508           3 
1473792050217---270015000000000002605720152920082066043-1405598250-           4 
1473792050218---700015000000000000905620162915082066041--8250                 5 
1473792050219---700015000000000000205719132913079065047--8250                 5 
1473792050220---700015000000000000805620112915078064047--8250                 5 
1473792050221100280015000000000001205723092916076064052-4305067100-           - 
1473792050222080280008014000000002505927202920076065056-4505067080-           - 
1473792050223110280015000000000002506027102920072064066-3708077110-           - 
1473792050300085580015000000000002306225092919070065076-6708547110-           - 
1473792050301090500010000000000002806126122921070064073997090                 9 
1473792050302120800015000000000002506027112920069063073--7120                 - 
1473792050303037580015000000000003105829142922069062068-7303737120-           - 
1473792050304120280015000000000004204629222925066055049-2304087120-           - 
1473792050305---224015000000000004904731062927063054056813040270803582008     3 
1473792050306200250015000000000005603731162929061049041927080792009           7 
1473792050307---210020000000000006703230142932061047034527080382005           2 
1473792050308---200030000000000007002928222933063047028104045192201           1 
1473792050309---0000300000000000070029312029330630470280 8250                 0 
1473792050310---0000300000000000074029292229340640480270 8250                 0 
1473792050311---0000300000000000070031302229330660490270 8250                 0 
1473792050312---0000300000000000064031311929310680500250 4050                 0 
1473792050313---0000300000000000055030281729280700510230 4055                 0 
1473792050314---200030000000000005003029142927071051022114055                 1 
1473792050315---200030000000000004603230142926072052023333055                 3 
1473792050316---200030000000000004603326212926072052024333055                 3 
1473792050317---200030000000000004703431152926071052026333055                 3 
1473792050318---200020000000000005003326152927070051026333055                 3 
1473792050319---200020000000000005403528162928067051031333055                 3 
1473792050320---200015000000000006103430092930064049033443055                 4 
1473792050321---200015000000000007103732152933063050038447080                 4 
1473792050322080280015001000000007804234142935058050056-4305067080-           - 
1473792050323---200015000000000008204334062936055049064337090                 3 
1473792050400---200020000000000008504234092937053047066117100                 1 
1473792050401---0000200000000000082042330929360520470690                      0 
1473792050402---0000200000000000083038330529360500440640                      0 
1473792050403---0000200000000000082038360329360470420710                      0 
